R,G,B,H,S,V,label
116.4543914794922,113.30137634277344,107.4381866455078,97.14520263671876,116.89459228515624,142.5994110107422,tidak segar
82.06491088867188,79.36064147949219,121.09709167480467,119.9125518798828,123.68666076660156,121.10685729980467,tidak segar
115.60783386230467,113.38018798828124,133.76223754882812,109.835205078125,81.05690002441406,139.94459533691406,tidak segar
182.88168334960935,212.8313751220703,196.57261657714844,40.2353515625,53.89276123046875,215.43641662597656,segar
195.123291015625,197.0271759033203,236.5753936767578,23.713836669921875,54.355072021484375,236.6935272216797,segar
203.0341339111328,208.5774383544922,246.3608245849609,27.615646362304688,48.66079711914063,246.68055725097656,segar
232.70050048828125,244.89097595214844,247.87892150878903,8.96368408203125,18.218658447265625,247.9445343017578,segar
97.44148254394533,199.8513946533203,159.10926818847656,40.87905883789063,135.94583129882812,200.11839294433597,tidak segar
65.45985412597656,134.2050323486328,160.22161865234375,25.156951904296875,159.44024658203125,168.95481872558594,tidak segar
87.72407531738281,116.3697509765625,114.83033752441406,86.23506164550781,88.26377868652344,126.16046142578124,tidak segar
155.39846801757812,160.82177734375,167.2853240966797,56.6602783203125,33.988616943359375,168.20748901367188,segar
96.33665466308594,105.6683349609375,88.798095703125,87.41384887695312,94.4295654296875,120.17034912109376,tidak segar
76.31063842773438,109.61544799804688,112.11296081542967,50.81024169921875,110.08210754394533,123.09645080566406,tidak segar
198.7960968017578,220.1453094482422,223.27232360839844,16.00933837890625,41.9444580078125,224.6010589599609,segar
109.87664794921876,116.2302703857422,116.48753356933594,81.93746948242188,97.84971618652344,138.57958984375,tidak segar
66.77523803710938,121.38172912597656,176.47183227539062,42.62562561035156,170.05010986328125,176.47183227539062,tidak segar
141.1816864013672,111.78076171875,169.24099731445312,143.216064453125,101.73785400390624,174.3336944580078,tidak segar
75.68917846679688,148.25669860839844,169.9358673095703,30.454025268554688,156.35012817382812,172.27940368652344,tidak segar
83.39173889160156,90.81707763671876,114.56697082519533,62.74916076660156,81.5352783203125,118.2460479736328,tidak segar
178.8291015625,175.04165649414062,194.94337463378903,90.33927917480467,56.88917541503906,199.0406951904297,segar
174.84837341308594,198.60276794433597,204.8181915283203,60.62445068359375,67.59727478027344,211.75816345214844,segar
152.54132080078125,127.15080261230467,102.70263671875,99.1566162109375,113.58775329589844,163.34014892578125,segar
49.32305908203125,94.88873291015624,81.8076171875,51.2977294921875,143.13099670410156,96.14732360839844,tidak segar
179.12765502929688,218.9236602783203,201.3319091796875,24.27598571777344,60.43367004394531,219.03451538085935,segar
